Code article,LIBELLE ARTICLE,FAMILLE ARTICLE,CONDITION,PU HT
2030,CANTAMIL SAC 2 KG,FROMAGES,SAC,"14,71"
2031,FROMAGE IL FILANTE SAC 2KG,FROMAGES,SAC,"13,24"
2050,ASIAGO 1/4 DE MEULE-LE KG,FROMAGES,KG,"11,43"
2055,CANTAL JEUNE MEULE -  LE KG,FROMAGES,KG,"8,51"
2100,EMMENTAL BLOC ENV. 3 KG - LE KG,FROMAGES,KG,"6,75"
2101,EMMENTAL BLOC ENV 1.5 KG - LE KG,FROMAGES,KG,"7,62"
2105,EMMENTAL LS ENV 250G - LE KG,FROMAGES,KG,"9,39"
2110,CRU/SAVOIE 1/4 (MEULE TARENT) - LE KG -,FROMAGES,KG,"9,99"
2112,CROUTE FLEURIE KG,FROMAGES,KG,"12,79"
2125,EMMENTAL TRANCHE  5X15 - 1 KG,FROMAGES,PIECE,"8,15"
2130,EMMENTAL RAPE FIN 1KG,FROMAGES,SACHE,"6,45"
2131,EMMENTAL RAPE GROS MULIN 1KG,FROMAGES,SACHE,"5,78"
2132,FROMAGE RAPE(4 FROM.)  POUR FONDUE 1 KG,FROMAGES,BARQU,"10,31"
2150,GRANA BLOC - LE KG,FROMAGES,KG,"15,22"
2151,GRANA PADANO 28% POINTE 200G,FROMAGES,PIECE,"3,71"
2152,GRANA PADANO 1/8- LE KG,FROMAGES,KG,"15,33"
2153,PARMESAN BL REGGIANO (PCS+/- 1KG)- LE KG,FROMAGES,KG,"18,89"
2154,GRANA PADANO PETALE BARQ 500 G,FROMAGES,BARQU,"8,31"
2155,PARMESAN REGGIANO PETALE BARQ 500 G,FROMAGES,BARQU,"13,43"
2161,GRAN LEO SACHET 1KG,FROMAGES,SACHE,"9,74"
2163,PARMESAN REGGIANO RAPE 500G,FROMAGES,SACHE,"12,33"
2165,GRANA PADANO RAPE  BTE FER 1KG,FROMAGES,BOITE,"16,73"
2175,COMTE BLOC - LE KG,FROMAGES,KG,"14,29"
2180,BEAUFORT 1/8 - 45 % MG - LE KG,FROMAGES,KG,"19,43"
2190,ABONDANCE AOP TRADITION MEULE - LE KG,FROMAGES,KG,"13,79"
2200,ROQUEFORT PAIN 1/2 LUNE - LE KG,FROMAGES,KG,"13,17"
2205,ROQUEFORT DES 500G CROUZAT,FROMAGES,BARQU,"9,01"
2211,ROQUEFORT SOCIETE PORT 20 G X 8,FROMAGES,PIECE,"4,54"
2253,RACLETTE TRANCHEE PIECE 400G,FROMAGES,PIECE,"3,50"
2260,RACLETTE PASTEURISEE - KG,FROMAGES,KG,"7,07"
2261,RACLETTE LAIT CRU SAVOIE - KG,FROMAGES,KG,"11,21"
2262,RACLETTE LAIT CRU - KG,FROMAGES,KG,"8,21"
2300,MOZZARELLA 1KG - MAESTRELLA,FROMAGES,PIECE,"6,23"
2310,MOZZARELLA ITALIENNE 1 KG,FROMAGES,PIECE,"7,17"
2330,MOZZARELLA 10 X 125G,FROMAGES,UNI,"0,84"
2331,MOZZARELLA DI BUFFALA  12X125 G,FROMAGES,UNI,"1,86"
2332,MOZZA BURRATA 200 G X 6,FROMAGES,UNI,"3,30"
2334,MOZZA BURRATINA 120G X10,FROMAGES,UNI,"2,27"
2335,MOZZARELLA TR. RONDE 10 CM  1KG,FROMAGES,BARQU,"8,60"
2336,GOUDA TRANCHES 10X10 20G X50,FROMAGES,BARQU,"8,29"
2352,MOZZARELLA CERISE 8G POT 1KG,FROMAGES,POT,"9,99"
2353,MOZZARELLA CERISE 8G POT 500G,FROMAGES,POT,"4,99"
2381,MOZZARELLA COSS  MAES 2.5 KG,FROMAGES,SAC,"12,55"
2382,MOZZARELLA COSSETTE KAASB - SAC 2KG,FROMAGES,SAC,"9,76"
2384,MOZZARELLA MAESTRELLA RAPE 2.5 KG,FROMAGES,SAC,"12,55"
2385,MOZZA/EMMENT.EMANIO-SAC 2.5 KG,FROMAGES,SAC,"13,92"
2390,MOZZARELLA RAPEE CANTADORA - SAC 2.5KG,FROMAGES,SAC,"12,77"
2400,CHEVRE BUCHE 2 X 1 KG,FROMAGES,UNI,"9,99"
2410,CHEVRE BUCHETTE 180 G,FROMAGES,PIECE,"1,83"
2411,CHEVRE STE MAURE TOURAINE 220 G,FROMAGES,PIECE,"7,49"
2415,CHEVRE MELANGE GUSTINE 850GX2,FROMAGES,UNI,"6,84"
2425,MI CHEVRE BUCHETTE 180G MELUSINE,FROMAGES,PIECE,"1,29"
2430,TOAST O CHEVRE  750G (CHEVRE A TARTINER),FROMAGES,BARQU,"11,76"
2455,CROTTIN CHAVIGNOL AOP 60 G X 12,FROMAGES,CAISS,"23,86"
2469,CROTTIN TRAITEUR 60GX12 CAIS/ BOIS,FROMAGES,CAISS,"11,61"
2470,CROTTIN  AFFINE  60G X 15  BOIS,FROMAGES,CAISS,"13,64"
2471,CROTTIN BRASSERIE 80G X 12,FROMAGES,CAISS,"17,46"
2472,CROTTIN SPECIAL CUISSON 20 G X 24,FROMAGES,CAISS,"12,19"
2477,ST MARCELLIN AFF. 80G X 16 C/BOIS,FROMAGES,CAISS,"13,91"
2482,CHAPEL FOUR 45% 20 G X 12,FROMAGES,BARQU,"3,90"
2500,BRIE 60 % ENV. 3KG - LE KG,FROMAGES,KG,"6,59"
2510,BRIE DE MEAUX L.CRU 50% 1/2,FROMAGES,KG,"12,79"
2530,BRIE PIECE 1 KG,FROMAGES,PIECE,"7,50"
2540,LIVAROT AOP 40% 500G  - LA PIECE,FROMAGES,PIECE,"9,08"
2545,MUNSTER FERMIER 50% - LE KG,FROMAGES,KG,"13,82"
2550,CORSICA 48% - 500G,FROMAGES,KG,"22,71"
2560,PONT L EVEQUE 400 G,FROMAGES,PIECE,"6,44"
2570,CAMEMBERT NORMAND 20 % BTE BOIS,FROMAGES,BOITE,"2,28"
2571,CAMEMBERT AOP LAIT CRU 240G,FROMAGES,BOITE,"2,99"
2572,CAMEMBERT ENT. PRESIDENT 250G,FROMAGES,BOITE,"2,66"
2573,CAMEMBERT COEUR DE LION 250 G,FROMAGES,BOITE,"2,58"
2575,CAMEMBERT ENTIER 240 G,FROMAGES,BOITE,"1,33"
2581,CAMEMBERT 30 G X 8 PORT. PRESIDENT,FROMAGES,BOITE,"2,29"
2600,EDAM PAIN - LE KG,FROMAGES,KG,"6,41"
2631,GOUDA PORTIONS 30GX100 DOMALAIT,FROMAGES,BOITE,"36,71"
2640,CHEDDAR ROUGE BLOC - LE KG,FROMAGES,KG,"9,89"
2641,CHEDDAR RAPE SAC 1KG,FROMAGES,SAC,"8,85"
2650,CHEDDAR TOASTINETTE X 84 TRANCHES,FROMAGES,PAQUE,"6,20"
2700,BUCHE BLEUE - LE KG,FROMAGES,KG,"7,79"
2701,FOURME D'AMBERT CUBES 500G,FROMAGES,PIECE,"7,75"
2705,TENDRE BLEU 400 G,FROMAGES,PIECE,"5,84"
2710,BLEU D'AUVERGNE AOP 1/2 50% - LE KG,FROMAGES,KG,"8,50"
2715,FOURME D'AMBERT  - LE KG,FROMAGES,KG,"8,85"
2720,GORGONZOLA 1/8 - LE KG,FROMAGES,KG,"9,91"
2725,TOMMETTE DE BREBIS 800 G - LE KG,FROMAGES,KG,"14,40"
2726,FROMAGE DE PAYS VACHE  PIECE 400 G,FROMAGES,PIECE,"3,68"
2727,FROMAGE DE PAYS CHEVRE PIECE 400 G,FROMAGES,PIECE,"6,03"
2731,TOMME GRISE - LE KG,FROMAGES,KG,"8,46"
2739,TOMME DE BREBIS - LE KG,FROMAGES,UNI,"14,29"
2740,TOMME DE CHEVRE - LE KG,FROMAGES,KG,"14,46"
2741,TOMME VACHE TRUFFES NOIRES BLANCHES KG,FROMAGES,KG,"56,64"
2750,SBRINTZ 1/8 - LE KG,FROMAGES,KG,"25,90"
2760,SAINT NECTAIRE - LE KG,FROMAGES,KG,"10,22"
2762,MORBIER - LE KG,FROMAGES,KG,"12,23"
2765,MONT D'OR 500G - LA PIECE,FROMAGES,PIECE,"7,25"
2766,BOIS BLOND 55% 230G,FROMAGES,PIECE,"2,74"
2775,REBLOCHON - LA PIECE,FROMAGES,PIECE,"5,94"
2777,BRILLAT SAVARIN 500G,FROMAGES,PIECE,"6,28"
2800,RICOTTA 1.5 KG,FROMAGES,PIECE,"6,50"
2810,FETA CUBE 900G,FROMAGES,BOITE,"12,24"
2812,BROUSSE DE BREBIS PERAC 500G,FROMAGES,BARQU,"5,24"
2815,FETA BLOC - LE KG,FROMAGES,KG,"12,12"
2832,PHILADELPHIA NATURE - 1.65KG,FROMAGES,BOITE,"18,02"
2833,SAINT MORET NATURE - 1KG,FROMAGES,BOITE,"14,21"
2834,BOURSIN CUISINE AIL/FH 1KG,FROMAGES,BOITE,"15,61"
2835,SAINT MORET NATURE 25 G X 24,FROMAGES,BARQU,"7,42"
2850,MINI BABYBEL 22 G X 96,FROMAGES,BOITE,"42,81"
2854,KIRI 65 %  20 G X 80,FROMAGES,BOITE,"24,24"
2855,VACHE QUI RIT 17.5 G X 80,FROMAGES,BOITE,"16,49"
2859,VACHE QUI RIT BAC 1 KG,FROMAGES,BAC,"11,69"
2900,FROMAGE BLANC 40% SEAU 5 KG,FROMAGES,SEAU,"11,24"
2910,FROMAGE BLANC 20% POT 1 KG,FROMAGES,POT,"2,46"
2920,YAOURT POT VERRE PECHE 135GX2 DAN,FROMAGES,PACK,"1,57"
2921,YAOURT POT VERRE FRAISE 135GX2 DAN,FROMAGES,PACK,"1,59"
2922,YAOURT POT VERRE CITRON 125G X 4 LAITIER,FROMAGES,PAQUE,"2,39"
2923,YAOURT POT VERRE VANILL 125G X 4 LAITIER,FROMAGES,PAQUE,"2,44"
2930,ACTIVIA NATURE 125GX4  DANONE,FROMAGES,PAQUE,"2,63"
2932,YAOURT NATURE 125 G X 16 DANONE,FROMAGES,PAQUE,"4,23"
2935,SOJA SUN X 4,FROMAGES,PAQUE,"2,15"
2939,YAOURT A LA GRECQUE 4X150GR,FROMAGES,PAQUE,"2,70"
2940,YAOURT PANIER DE YOPLAIT 130G X 16,FROMAGES,PAQUE,"6,16"
2945,DANETTE 4 X 125G,FROMAGES,PAQUE,"2,29"
2946,FLANBY 100G X 4 NESTLE,FROMAGES,PAQUE,"1,74"
29123,YAOURT POT VERRE NATURE 135GX2 DAN,FROMAGES,PACK,"1,31"
999918,TOMME BREBIS CORSE OTTAVI KG,FROMAGES,KG,"27,09"
3010,CREME SUCREE VANILLEE 2L DEBIC,CREMERIE,BOUTE,"10,55"
3020,CREME UHT 30%  GERENTES - 1L,CREMERIE,BRICK,"3,02"
3021,CREME UHT 30% BAIGNES - 1L,CREMERIE,BRICK,"3,65"
3030,CREME UHT 35% VAL DE SAIRE  1L,CREMERIE,BRICK,"3,65"
3040,CREME EXCELLENCE ELLE & VIRE -1L,CREMERIE,BRICK,"5,32"
3051,CREME LIAISON FOISON 1L BLUE BAND 31 %,CREMERIE,BOUTE,"4,66"
3052,CREME VEGETOP 1L DEBIC,CREMERIE,BOUTE,"3,21"
3053,CREME VEGETOP SUCREE 1L DEBIC,CREMERIE,BRICK,"4,13"
3055,CREME SPEC. CUISSON CUISINEL -1L,CREMERIE,BRICK,"3,17"
3066,CREME UHT 35% GRAND FERMAGE 1L,CREMERIE,BRICK,"3,98"
3067,CREME UHT CUISSON 18% GRAND/F BLEUE - 1L,CREMERIE,BRICK,"2,85"
3068,CREME UHT TENUE ET FOISON 35 % 1L DEBIC,CREMERIE,BRICK,"5,35"
3070,CREME BRULEE  ELLE&VIRE 1L,CREMERIE,BRICK,"6,12"
3071,CREME BRULEE 1L DEBIC,CREMERIE,BOUTE,"5,89"
3075,CREME BRULEE MONTAIGU - 1L,CREMERIE,BRICK,"5,85"
3080,TIRAMISU ELLE & VIRE - 1L,CREMERIE,BRICK,"7,20"
3081,TIRAMISU PREPARATION 1L DEBIC,CREMERIE,BOUTE,"7,23"
3087,CREAM CHEESE POT 1KG  E&V,CREMERIE,BOITE,"11,62"
3088,PREP. CHEESECAKE UHT PRESIDENT-1L,CREMERIE,BOITE,"6,98"
3090,FAISSELLE 100 G X 4,CREMERIE,PAQUE,"1,91"
3100,CREME ANGLAISE 2L DEBIC,CREMERIE,BOUTE,"6,26"
3115,CREME ANGLAISE MONTAIGU - 1L,CREMERIE,BRICK,"2,55"
3200,CREME FRAICHE EPAISSE 30 % SEAU 5 L,CREMERIE,SEAU,"17,75"
3210,CREME FRAICHE EPAISSE 30%  MG  1KG,CREMERIE,SEAU,"4,26"
3400,CHANTIBIC BOMBE 700 ML DEBIC,CREMERIE,BOUTE,"7,17"
3450,PANNA COTTA 1 L DEBIC,CREMERIE,BOUTE,"5,70"
3451,PANNA COTTA ELLE & VIRE-1L,CREMERIE,BRICK,"7,20"
3452,CREME CARAMEL 1L DEBIC,CREMERIE,BOUTE,"5,16"
3500,GRATIN FRUIT SABAYON ELLE & VIRE-1L,CREMERIE,BRICK,"8,28"
3505,MOUSSE CHOC. NOIR YOPLAIT- 5L,CREMERIE,SEAU,"18,69"
3508,"MOUSSE CHOCOLAT YOPLAIT-2,5L",CREMERIE,SEAU,"10,05"
3510,MASCARPONE 500 G,CREMERIE,BOITE,"3,93"
4010,LAIT 1/2 ECR BRICK  1LX6,LAIT,UNI,"0,75"
4020,LAIT 1/2 ECR BOUT. BRIDEL 1LX6,LAIT,UNI,"1,30"
4050,LAIT ENTIER BRIDEL 1LX6,LAIT,UNI,"1,49"
4060,LAIT ENTIER BRICK 1LX6,LAIT,UNI,"0,93"
4200,LAIT POUDRE 1/2 EC.NESTLE  5 KG,LAIT,SACHE,"54,30"
4300,LAIT CONCENTRE NS 410 G,LAIT,BOITE,"1,89"
4350,LAIT CONCENTRE SUCRE 397G NESTLE,LAIT,BOITE,"3,02"
4400,LAIT GLORIA NS DOSES 7.5 G X 300,LAIT,CARTO,"25,41"
2742,SPECIALITÉ BASE BEURRE A LA TRUFFE 165G,BEURRE ET MARGARINE,PIECE,"16,00"
2743,BEURRE A LA TRUFFE 500G,BEURRE ET MARGARINE,PIECE,"43,16"
5010,BEURRE PLAQUETTE  250 G - LE KG,BEURRE ET MARGARINE,KG,"8,60"
5015,BEURRE 125 G PRESIDENT-LE KG,BEURRE ET MARGARINE,KG,"11,07"
5016,BEURRE 250G PRESIDENT- LE  KG,BEURRE ET MARGARINE,KG,"10,09"
5017,BEURRE DOUX AOP 2KG (CARTON 10KG),BEURRE ET MARGARINE,CARTO,"96,90"
5020,BEURRE ROULEAU 1KG,BEURRE ET MARGARINE,PIECE,"8,31"
5030,BEURRE MICROPAINS 10 G X 100,BEURRE ET MARGARINE,PIECE,"9,53"
5031,BEURRE MICROPAINS 1/2 SEL 10 G X 100,BEURRE ET MARGARINE,PIECE,"8,92"
5032,BEURRE COUPELLE AOP 25G X 48 ISIGNY,BEURRE ET MARGARINE,PIECE,"16,93"
5050,BEURRE CONVIETTE 15G X 30,BEURRE ET MARGARINE,PIECE,"8,57"
5051,BEURRE ECHIRE 30 G X 20 X 5 - CARTON,BEURRE ET MARGARINE,CARTO,"66,62"
5100,BEURRE 1/2 SEL PLAQ 250 G - LE KG,BEURRE ET MARGARINE,KG,"9,10"
5200,MARGARINE CUISINE 500G - BARQUETTE,BEURRE ET MARGARINE,BARQU,"1,35"
5205,SAINDOUX 250 G,BEURRE ET MARGARINE,PIECE,"1,93"
5300,TARTIMALIN DOUX BARQUETTE 1 KG,BEURRE ET MARGARINE,PIECE,"7,85"
6010,CHORIZO CULAR COUSU FORT - LE  KG,CHARCUTERIE,KG,"7,01"
6011,CHORIZO FORT PIECE 200 G,CHARCUTERIE,PIECE,"1,99"
6012,CHORIZO DOUX PIECE 200G,CHARCUTERIE,PIECE,"2,40"
6013,CHORIZO PIZZA PETITE TRANCHE 500G,CHARCUTERIE,BARQU,"5,49"
6014,CHORIZO EXTRA VELA GD TR  500G,CHARCUTERIE,BARQU,"4,85"
6015,FIGATELLI CORSE - LE KG,CHARCUTERIE,KG,"9,15"
6016,FIGATELLI CORSE PIECE (KG),CHARCUTERIE,KG,"18,57"
6021,MORTADELLE 60T - 2 X 250G,CHARCUTERIE,PIECE,"8,59"
6022,MORTADELLE SANGLIER TRUFFE KG,CHARCUTERIE,KG,"23,90"
6040,ROSETTE PP - LE KG,CHARCUTERIE,KG,"8,49"
6041,ROSETTE 10GX50 TR -  PAQUET 500 G,CHARCUTERIE,BARQU,"5,34"
6049,COPPA STAGIONATA KG,CHARCUTERIE,KG,"16,88"
6050,COPPA 1/2 - LE  KG,CHARCUTERIE,KG,"12,30"
6051,PANCETTA -  LE KG,CHARCUTERIE,KG,"11,56"
6052,COPPA TRANCHE 500 G,CHARCUTERIE,PIECE,"8,90"
6053,PANCETTA TRANCHEE 500 G,CHARCUTERIE,PIECE,"9,64"
6055,BRESAOLA 1/2  - LE  KG,CHARCUTERIE,KG,"32,74"
6090,MERGUEZ PRECUITES  1 KG,CHARCUTERIE,SACHE,"9,99"
6100,EPAULE CUITE DD STANDARD PIECE 5KG,CHARCUTERIE,PIECE,"24,80"
6225,JAMBON CUIT SUP DD NAVARRE  LE KG,CHARCUTERIE,KG,"5,86"
6230,JAMBON DD SUP 10TRX50G - LE PAQUET,CHARCUTERIE,PAQUE,"4,27"
6231,JAMBON SUP DD TORCHON 16TR 640 G,CHARCUTERIE,BARQU,"6,33"
6232,BLANC DE DINDE 40G X18TR,CHARCUTERIE,BARQU,"7,94"
6233,JAMBON DD SUP TORCH 20TRX40G,CHARCUTERIE,BARQU,"8,00"
6234,JAMBON DE DINDE RECT HALAL 3.63 KG,CHARCUTERIE,PIECE,"28,18"
6240,FAUSSE COUPE JAMBON PAQ 3KG,CHARCUTERIE,PAQUE,"13,39"
6241,CHUTE DE JAMBON - PAQUET 1 KG,CHARCUTERIE,PAQUE,"4,94"
6242,FAUSSE COUPE JAMBON PQT 2KG,CHARCUTERIE,PAQUE,"9,37"
6243,FAUSSE COUPE JAMBON AU KILO,CHARCUTERIE,KG,"4,72"
6290,RIBS PORC PREC MEXIC  600G - LE KG,CHARCUTERIE,KG,"10,82"
6300,LARDONS FUMES ALLUMETTES - 1 KG,CHARCUTERIE,BARQU,"6,17"
6301,LARDONS FUMES GROS - 1 KG,CHARCUTERIE,BARQU,"6,01"
6305,LARDONS SALES 1 KG,CHARCUTERIE,BARQU,"6,56"
6310,BACON 42 TR  -  PAQUET 500 G,CHARCUTERIE,PAQUE,"5,86"
6315,BACON FUME - LE KG,CHARCUTERIE,KG,"8,56"
6350,POITRINE FUMEE N°1 - LE KG,CHARCUTERIE,KG,"6,25"
6352,POITRINE FUMEE TRANCHEE 500G,CHARCUTERIE,PIECE,"4,62"
6360,POITRINE SALEE N°1 - LE KG,CHARCUTERIE,KG,"7,44"
6400,JAMBON CRU ITALIEN 6 KG - LE KG,CHARCUTERIE,KG,"8,73"
6401,JAMBON CRU SERRANO DEMI - LE KG,CHARCUTERIE,KG,"12,39"
6403,JAMBON CRU DI NORCIA IGP AVEC OS - KG,CHARCUTERIE,KG,"23,90"
6404,REGINA DI NORCIA CUISSE PORC MARINÉES KG,CHARCUTERIE,KG,"28,90"
6405,UMBRIACO CUISSE PORC MARINÉE VIN KG,CHARCUTERIE,KG,"28,90"
6406,GUANCIALE DI SUINO JOUE DE PORC KG,CHARCUTERIE,KG,"25,90"
6407,GRANTARTUFO JAMBON BLANC TRUFFE KG,CHARCUTERIE,KG,"39,90"
6420,SPECK 1/2 - LE KG,CHARCUTERIE,KG,"14,90"
6425,JAMBON CRU PAYS 25G X 20 - BARQUETTE,CHARCUTERIE,BARQU,"7,13"
6446,JAMBON DE PARME 20TX16 G -  PAQUET 320 G,CHARCUTERIE,BARQU,"11,00"
6450,JAMBON DE PARME S/OS  8 KG - LE KG,CHARCUTERIE,KG,"18,89"
6455,JAMBON SERRANO GAMBOA 30 TR - 500 G,CHARCUTERIE,BARQU,"7,99"
6456,JAMBON SERRANO TR - 500 G ARROYO,CHARCUTERIE,BARQU,"6,30"
6480,VIANDE DES GRISONS-  LE KG -,CHARCUTERIE,KG,"40,84"
6500,PATE DE CAMPAGNE PAIN 2 KG,CHARCUTERIE,PIECE,"8,40"
6520,PATE EN CROUTE RICHELIEU KG,CHARCUTERIE,KG,"7,95"
6600,SAUCISSE DE STRASBOURG - 1 KG,CHARCUTERIE,SACHE,"5,49"
6601,SAUCISSES DE FRANCFORT 1 KG,CHARCUTERIE,SACHE,"5,56"
6603,SAUCISSES HOT DOG 1.4KG,CHARCUTERIE,SACHE,"8,00"
6604,SAUCISSES FUMEE 120G X15 LE KG,CHARCUTERIE,KG,"5,70"
6606,SAUCISSON DE PORC TRUFFE PARMESAN KG,CHARCUTERIE,KG,"37,90"
6607,SAUCISSON AU FENOUIL KG,CHARCUTERIE,KG,"24,90"
6608,SAUCISSE DE SANGLIER TRUFFE S/V KG,CHARCUTERIE,KG,"49,90"
6609,SPIANATA DOUCE KG,CHARCUTERIE,KG,"14,90"
6610,SAUCISSE SECHE COURBE 300G,CHARCUTERIE,SACHE,"3,49"
6700,BL. FOIE GRAS CAN. MX 400 G,CHARCUTERIE,BOITE,"16,47"
6781,GRAISSE D OIE 4/4,CHARCUTERIE,BOITE,"5,56"
6782,GRAISSE CANARD 5/1,CHARCUTERIE,BOITE,"15,75"
6783,GRAISSE CANARD 4/4,CHARCUTERIE,BOITE,"5,18"
6810,MAGRET CANARD FUME TR 250G,CHARCUTERIE,PAQUE,"10,27"
6830,MAGRET DE CANARD CRU - LE  KG,CHARCUTERIE,KG,"17,50"
6851,GESIERS DE CANARD EMINCES 4/4,CHARCUTERIE,BOITE,"8,69"
6871,GESIERS DE DINDE EMINCES 4/4,CHARCUTERIE,BOITE,"5,86"
6890,CONFIT DE CANARD 12 CUISSES 5/1,CHARCUTERIE,BOITE,"34,99"
7100,OEUFS 53/63  CANADIENNE X 360,OEUFS ET DERIVES,CARTO,"55,57"
7105,OEUFS 63/73  CARTON X 180,OEUFS ET DERIVES,CARTO,"29,67"
7110,OEUFS 53/63  CARTON X 60,OEUFS ET DERIVES,CARTO,"10,17"
7115,OEUFS 53/63  CARTON X 90,OEUFS ET DERIVES,CARTO,"14,40"
7200,OEUFS ECALES X 40,OEUFS ET DERIVES,SACHE,"10,39"
7210,OEUFS ECALES SEAU X 150,OEUFS ET DERIVES,SEAU,"31,38"
7220,OEUF ECALE X 75,OEUFS ET DERIVES,SEAU,"26,14"
7300,OEUF ENTIER BIDON 2 L,OEUFS ET DERIVES,BIDON,"7,89"
7310,BLANC D'OEUF BIDON  1 L,OEUFS ET DERIVES,BIDON,"4,17"
7311,OEUFS ENTIERS LIQUIDES 1 KG,OEUFS ET DERIVES,BIDON,"3,96"
7320,JAUNE D'OEUF BIDON 1 L,OEUFS ET DERIVES,BIDON,"6,19"
7380,OEUFS POCHES X48,OEUFS ET DERIVES,SACHE,"25,08"
7500,OEUF NEIGE BARQUETTE 2.2 L,OEUFS ET DERIVES,BARQU,"2,54"
8809,SAUCE ANGLAISE - WORCESTERSHIRE - 300 ML,SAUCES ET CONDIMENTS,FLACO,"2,45"
8101,KETCHUP BIDON COLONA  5 L,SAUCES ET CONDIMENTS,BIDON,"8,22"
8102,KETCHUP HEINZ BID 5.7 KG,SAUCES ET CONDIMENTS,BIDON,"20,12"
8103,SAUCE CAESAR 3 L COLONA,SAUCES ET CONDIMENTS,BIDON,"12,20"
8106,KETCHUP PINGOUIN 5.5 KG LESIEUR,SAUCES ET CONDIMENTS,PINGO,"21,02"
8110,KETCHUPIER SOUPLE AMORA 485 G,SAUCES ET CONDIMENTS,FLACO,"2,52"
8111,SAUCE KETCHUP CALIFORNIA 970 ML,SAUCES ET CONDIMENTS,SQUEE,"5,37"
8113,KETCHUP FLACON SOUPLE 342 G HEINZ,SAUCES ET CONDIMENTS,FLACO,"2,15"
8120,KETCHUP HEINZ VERRE - 342 G,SAUCES ET CONDIMENTS,BOUTE,"2,30"
8125,KETCHUP SOUPLE HEINZ 910G,SAUCES ET CONDIMENTS,SQUEE,"5,94"
8129,KETCHUP DOSES X 600,SAUCES ET CONDIMENTS,CARTO,"25,00"
8130,KETCHUP DOSES 10 G X 500 - COLONA,SAUCES ET CONDIMENTS,CARTO,"19,48"
8132,KETCHUP DOSE 10ML X 200 HEINZ,SAUCES ET CONDIMENTS,CARTO,"13,85"
8135,KETCHUP POT VERRE HEINZ 33 ML X 80,SAUCES ET CONDIMENTS,CARTO,"47,46"
8140,KETCHUP 950 ML COLONA,SAUCES ET CONDIMENTS,SQUEE,"3,05"
8150,KETCHUP VOLPACK HEINZ-15KG,SAUCES ET CONDIMENTS,CARTO,"33,24"
8201,MAYONNAISE COLONA - SEAU 5 KG,SAUCES ET CONDIMENTS,SEAU,"8,95"
8203,MAYONNAISE HTE FERMETE LESIEUR SEAU 5KG,SAUCES ET CONDIMENTS,SEAU,"14,29"
